Mark Guard Original ,Results are for steelhead,,,
Flow,Spawning,Fry Rearing,Juv Rearing,adult trout
12,1800,5800,4200,not modeled
35,3200,4300,4300,
50,3000,3200,4000,
100,1500,2000,3300,
150,1100,1500,3050,
200,800,1400,3000,
250,500,1500,3000,
300,500,1700,3050,
350,700,1900,3100,
400,900,2000,3300,
,,,,
,,,,
Reach 1and2 ,Results are for steelhead,,,
Flow,Spawning,Fry Rearing,Juv Rearing,adult trout
12,1738,5815,4166,not modeled
35,3175,4239,4359,
50,2919,3219,4028,
100,1492,1971,3335,
150,1173,1473,3092,
200,735,1365,2969,
250,417,1437,2905,
300,399,1643,2932,
350,575,1819,3123,
400,827,1966,3345,
,,,,
,,,,
Reach 3,Results are for steelhead,,,
Flow,Spawning,Fry Rearing,Juv Rearing,adult trout
12,2069,6583,4877,not modeled
35,5740,5685,6758,
50,7700,5003,7618,
100,10110,4997,9043,
150,9286,4386,8873,
200,8399,3802,8592,
250,7733,3274,8229,
300,6819,2911,8002,
350,6208,2575,7750,
400,5790,2321,7771,
,,,,
Reach 4,Results are for steelhead,,,
Flow,Spawning,Fry Rearing,Juv Rearing,adult trout
12,1438,2495,3551,not modeled
35,5887,2528,5887,
50,8057,2396,6892,
100,11100,1975,8394,
150,11140,2041,8569,
200,9773,1972,8419,
250,8025,1795,8025,
300,6249,1753,7685,
350,4664,1792,7183,
400,3701,1886,6870,
