"Hendrix 2017, use mean of percent_suitable to assign area to south delta, use area_acres vs flow for North delta",,,,,
Date,Year,Month,flow_cfs,percent_suitable,area_acres
32781,1989,9,10258.5658444895,0.0914729077,330
17806,1948,9,10265.6691870828,0.0977352263,349
30194,1982,8,10273.9836923544,0.0960666332,342
14184,1938,10,10278.7561888463,0.0670002191,268
22250,1960,11,10293.1176094129,0.0727566299,284
25111,1968,9,10296.1445134728,0.0977352669,349
13393,1936,8,10314.8670215792,0.0960666332,342
8644,1923,8,10322.3902884178,0.0954791102,341
15280,1941,10,10324.1003868325,0.0676705843,272
13027,1935,8,10343.5804075963,0.0895754399,322
16953,1946,5,10344.8403652154,0.0620264255,256
36341,1999,6,10347.0348670737,0.0696645004,272
22097,1960,6,10397.7001028709,0.0701783463,269
16010,1943,10,10408.1865566217,0.0702807131,281
18018,1949,4,10420.9501953125,0.0661634931,272
20940,1957,4,10421.3360275713,0.0603593391,250
18506,1950,8,10449.576458681,0.0890039258,321
16680,1945,8,10450.2115502219,0.0952348002,340
12509,1934,3,10451.0040532084,0.0697169795,286
32539,1989,1,10453.5703030188,0.0717487692,284
10683,1929,3,10453.7994823271,0.0734658602,299
27911,1976,5,10519.4997345267,0.068663667,277
8797,1924,1,10527.5996164859,0.0717487692,284
33297,1991,2,10531.5084382585,0.0650834927,269
18536,1950,9,10544.2902760922,0.0906745178,328
9132,1924,12,10583.4862807191,0.0712797298,287
10409,1928,6,10588.4719285687,0.0720384708,280
25719,1970,5,10596.9461278823,0.0663100088,273
35581,1997,5,10655.0461686514,0.0599368272,249
24107,1965,12,10710.5351846936,0.0740673943,285
25446,1969,8,10712.0400817279,0.0968991342,347
19237,1952,8,10716.3456699408,0.0968991342,347
11078,1930,4,10717.6127929688,0.0695204842,285
10624,1929,1,10720.0958263805,0.0776305943,310
27210,1974,6,10794.0045651927,0.0743004882,294
24776,1967,10,10803.3488176957,0.0740691995,301
24258,1966,5,10806.082382054,0.069095323,283
9587,1926,3,10827.5517104066,0.0680088737,281
23985,1965,8,10864.1101666793,0.096510322,346
17136,1946,11,10874.7829423923,0.0728776872,297
27637,1975,8,10886.2957704414,0.0964200921,346
33358,1991,4,10898.8031515473,0.0699796052,287
12996,1935,7,10907.5265141459,0.0805409354,294
13727,1937,7,10908.8658838365,0.0805409354,294
16468,1945,1,10910.4185091778,0.0726527283,294
17379,1947,7,10921.856521162,0.0805409354,294
8340,1922,10,10940.7634158829,0.0735853499,299
31563,1986,5,10942.8541461241,0.0384207129,162
35003,1995,10,10950.1424453884,0.0727876144,297
17898,1948,12,10952.7900366922,0.0719728974,280
11840,1932,5,10957.2334932494,0.0619916232,258
27333,1974,10,10957.8694629854,0.0670049444,272
24046,1965,10,10973.8255508571,0.0672369735,272
29189,1979,11,10983.3489219888,0.0711827968,282
31655,1986,8,11036.8901461999,0.0964191604,346
29036,1979,6,11050.2859147451,0.0665043334,268
10043,1927,6,11066.7126867794,0.0690957588,277
10562,1928,11,11131.2130281022,0.0731262455,299
13301,1936,5,11152.8834382585,0.0506359025,212
34365,1994,1,11157.0385268128,0.0716083118,290
24227,1966,4,11168.0868429536,0.0658691115,273
21428,1958,8,11202.018431432,0.0952706356,343
29706,1981,4,11206.0224230127,0.0667485036,277
22312,1961,1,11209.5594233541,0.0690262352,281
15584,1942,8,11213.313926919,0.0952706356,343
15219,1941,8,11222.2440458131,0.0952706356,343
24715,1967,8,11233.6845086848,0.0952479042,343
23315,1963,10,11237.4195331462,0.067856705,275
14945,1940,11,11239.522034284,0.0667627363,271
21946,1960,1,11278.9479340488,0.0715267671,290
19724,1953,12,11295.4144061931,0.0826138838,305
23192,1963,6,11297.3148940003,0.067856705,275
8279,1922,8,11323.7852510619,0.0952479042,343
29464,1980,8,11348.3139980279,0.0952479042,343
30986,1984,10,11362.6258153823,0.0688227468,281
20698,1956,8,11378.0243903595,0.0950029352,342
14123,1938,8,11379.8581045206,0.0950029352,342
29006,1979,5,11404.4480288607,0.0460408751,194
36525,1999,12,11412.7221324143,0.0904202249,331
26907,1973,8,11424.8780482024,0.095963136,346
31167,1985,4,11446.8036872345,0.0593158492,248
27272,1974,8,11453.5094811893,0.0950017508,342
11779,1932,3,11461.6062793917,0.0690183239,286
30925,1984,8,11466.3663958207,0.0950017508,342
36403,1999,8,11518.4808005916,0.095963136,346
21489,1958,10,11525.4526604217,0.0665466597,270
35369,1996,10,11526.2861991808,0.0691589544,282
31137,1985,3,11539.8007480658,0.0681526508,283
16771,1945,11,11551.3386633419,0.0691589544,282
9283,1925,5,11561.2373378717,0.0484709807,204
12419,1933,12,11563.5763140928,0.0738159264,303
20851,1957,1,11587.476586203,0.0685495585,280
20301,1955,7,11593.1500066368,0.08061503,296
16406,1944,11,11609.1496321299,0.0764728631,307
16557,1945,4,11610.9884045055,0.0457208055,194
25081,1968,8,11615.9891416679,0.0960957284,347
17167,1946,12,11617.8610555408,0.0748611212,285
31746,1986,11,11619.6539745146,0.0579105411,242
18414,1950,5,11632.3718712075,0.0621227096,259
9709,1926,7,11633.9347409739,0.0818688295,300
36464,1999,10,11658.9051075167,0.0691508342,282
14304,1939,2,11678.9258191748,0.0685495585,280
14245,1938,12,11684.7538138084,0.0814001329,302
33969,1992,12,11686.9566377806,0.0729445698,300
14762,1940,5,11704.7075242718,0.0471717302,199
27425,1975,1,11721.8982905416,0.0685495585,280
31808,1987,1,11725.0123776927,0.067755965,277
27394,1974,12,11734.8822412583,0.0771941235,290
15949,1943,8,11745.7431593219,0.0960957284,347
18748,1951,4,11748.1760230203,0.0480654766,203
10227,1927,12,11748.8201276168,0.0752410277,283
12843,1935,2,11764.5179194478,0.0729494455,301
36677,2000,5,11775.8490926502,0.0497428399,209
35673,1997,8,11781.2425430446,0.0960957284,347
10105,1927,8,11781.3337046799,0.0960957284,347
28855,1978,12,11786.9609920168,0.0822108488,304
13696,1937,6,11791.2126441141,0.0673424322,273
27759,1975,12,11845.8256361878,0.082129066,304
20820,1956,12,11849.990386074,0.0812258433,301
19663,1953,10,11858.5575318568,0.0724373238,297
28733,1978,8,11875.8845143735,0.0960438895,347
11170,1930,7,11880.2668480734,0.0806705259,297
11354,1931,1,11897.9392255765,0.0729445698,300
21550,1958,12,11901.2116485892,0.0812258433,301
25415,1969,7,11911.2289565003,0.0706936816,280
19875,1954,5,11922.6051937955,0.0606938001,255
35308,1996,8,11936.639548885,0.0980852319,355
25811,1970,8,11950.8665617415,0.0979885387,355
26176,1971,8,11971.6012685831,0.0959259693,347
15645,1942,10,11989.6226391839,0.0687403211,281
36769,2000,8,11996.4650333738,0.0959259693,347
14854,1940,8,11998.5474533525,0.0959259693,347
20759,1956,10,12000.4148162546,0.0722353056,296
17045,1946,8,12007.182693037,0.0959259693,347
20148,1955,2,12010.5977320995,0.0725287371,299
19206,1952,7,12057.5830884026,0.0705658178,279
24837,1967,12,12057.8741988395,0.0811073772,301
27819,1976,2,12061.5896256826,0.0673447788,276
16284,1944,7,12066.2596328884,0.0815863755,301
23254,1963,8,12087.811798392,0.0978873438,355
18871,1951,8,12105.0769351107,0.0978873438,355
10471,1928,8,12121.7407510998,0.0978873438,355
29586,1980,12,12132.0179739647,0.0788961862,294
22036,1960,4,12160.6722447664,0.0594727576,250
18779,1951,5,12171.2912384329,0.0531995771,224
24350,1966,8,12184.974433973,0.0978860934,355
27698,1975,10,12186.0624525941,0.0722866989,296
31078,1985,1,12193.1515615519,0.0697803993,289
26114,1971,6,12196.7052724894,0.0661344734,269
19967,1954,8,12217.089118439,0.0977598225,355
15857,1943,5,12235.2382148817,0.0441349955,188
12965,1935,6,12251.2551388046,0.0661247607,269
21124,1957,10,12251.282454111,0.0689784271,268
21793,1959,8,12258.0568966171,0.0977598225,355
29372,1980,5,12269.660132547,0.0389308749,166
30559,1983,8,12278.1540551047,0.070762056,291
21063,1957,8,12306.724035763,0.0977002532,355
26845,1973,6,12316.9848063941,0.0661247607,269
11382,1931,2,12351.9683328277,0.0644456213,269
34334,1993,12,12356.2795125721,0.0787289632,293
9648,1926,5,12382.6961041793,0.0652160559,272
34546,1994,7,12383.0207211393,0.0893507063,326
26298,1971,12,12386.9152215754,0.0688213475,268
22889,1962,8,12402.005356872,0.0976104288,354
16102,1944,1,12421.7514174378,0.0676289268,282
19298,1952,10,12448.7234337075,0.0722030302,298
26237,1971,10,12492.8773228914,0.0721959841,298
18110,1949,7,12539.0502455628,0.0831957825,308
30802,1984,4,12557.5045462303,0.0463551908,197
22766,1962,4,12584.7936893204,0.0501458825,212
13546,1937,1,12610.4478439775,0.0566664944,240
8552,1923,5,12630.8064320388,0.0471071263,200
14092,1938,7,12643.7592062348,0.0702826859,280
12113,1933,2,12721.4070132357,0.0701206634,290
22980,1962,11,12746.4865959686,0.071671683,275
11748,1932,2,12748.9474552488,0.0496285483,211
30163,1982,7,12752.4954916945,0.0702826859,280
29555,1980,11,12768.1257395328,0.0719438938,297
32659,1989,5,12776.1744728459,0.0642239048,269
12144,1933,3,12816.1504427715,0.0583298709,246
20636,1956,6,12832.2240405036,0.0602136345,252
26815,1973,5,12845.6532112788,0.0461436698,196
34699,1994,12,12847.5040863926,0.0665961818,277
19602,1953,8,12862.5784544713,0.0822390664,305
18475,1950,7,12868.9327783677,0.0832332511,308
30132,1982,6,12885.6862105583,0.061094105,256
14457,1939,7,12889.6666461241,0.0718705975,284
29067,1979,7,12912.3318985134,0.0832332511,308
36038,1998,8,12958.1518602093,0.0710657662,284
14214,1938,11,12981.1526329263,0.054706204,231
21640,1959,3,13022.9142189396,0.0670661828,280
12085,1933,1,13061.1508978686,0.0630778712,266
27850,1976,3,13078.9551587151,0.0621023276,261
9344,1925,7,13108.7990414518,0.081969662,305
22493,1961,7,13141.5323545586,0.0818554132,304
17957,1949,2,13164.1799529733,0.0647845026,272
24441,1966,11,13173.9547794675,0.0699122162,291
16437,1944,12,13176.818821583,0.0683142406,274
37864,2003,8,13198.5436419144,0.0818554132,304
23436,1964,2,13199.9617671041,0.0670675425,280
15553,1942,7,13221.0938969584,0.0719093848,287
34303,1993,11,13247.3313912697,0.0706975656,293
17563,1948,1,13297.7745278368,0.0597080038,253
23711,1964,11,13316.008315003,0.0645825404,271
8067,1922,1,13337.1042693796,0.0597763282,254
28975,1979,4,13384.5780444099,0.0383964058,165
36099,1998,10,13427.3460823726,0.0640182966,268
17776,1948,8,13434.820511605,0.0767798198,290
29798,1981,7,13475.5847239078,0.0816199336,304
36860,2000,11,13492.150741429,0.0708048271,295
28490,1977,12,13523.7268137515,0.0639840177,271
13666,1937,5,13534.4119908601,0.0379517043,164
7975,1921,10,13543.7479473225,0.0580329108,245
12478,1934,2,13569.0942240595,0.0500291191,214
15188,1941,7,13575.942657767,0.0717008756,287
32932,1990,2,13581.3061855279,0.0647146753,272
30255,1982,10,13647.7528870221,0.0640182966,268
16922,1946,4,13727.7557266384,0.0402177194,173
26329,1972,1,13739.7633163304,0.0647146753,272
29433,1980,7,13744.3989494842,0.0706970516,284
23893,1965,5,13760.7475965185,0.0441077608,189
