"adult trout, from YCWA (2014) technical memorandum 7-10: Instream Flow Downstream of Englebright Dam 4/21/14",,,,,
Flow,ft_sq,Englebright_ft2,DeerCreek_ft2,DryCreek_msf,Daguerre_msf
300,9172177,216584,3188593,1.114,4.653
350,9497207,216584,3307623,1.157,4.816
400,9727368,216584,3393784,1.191,4.926
450,9891964,216584,3453380,1.218,5.004
530,10047368,216584,3505784,1.252,5.073
600,10109646,216584,3521062,1.272,5.1
622,10114742,216584,3521158,1.274,5.103
700,10095145,216584,3507561,1.285,5.086
800,10008572,215023,3471549,1.281,5.041
880,9909398,213386,3439012,1.27,4.987
930,9842193,211836,3410357,1.266,4.954
1000,9763759,209540,3374219,1.259,4.921
1300,9350640,201494,3175146,1.217,4.757
1500,8884174,196063,3045111,1.176,4.467
1700,8562344,191950,2919394,1.136,4.315
2000,8134802,185932,2726870,1.084,4.138
2500,7670217,175518,2529699,1.033,3.932
3000,7397714,168350,2385364,1.011,3.833
4000,7371834,157232,2202602,1.041,3.971
5000,7663778,149155,2107623,1.105,4.302
7500,8905786,136111,2205675,1.356,5.208
10000,9935039,150809,2411230,1.482,5.891
15000,13822168,144321,2900847,1.952,8.825
21100,16358544,152133,3760411,2.156,10.29
30000,15872988,115137,3546851,1.586,10.625
42200,16421255,131121,3999134,1.702,10.589
84400,15592745,133527,3657218,1.213,10.589
110400,15563449,136531,3408918,1.429,10.589
